
Name	Description	Flags
_record	Record a demo incrementally.	dontrecord release
_resetgamestats	Erases current game stats and writes out a blank stats file	developmentonly gamedll defensive
-bugvoice	Finish recording bug voice attachment.	developmentonly dontrecord defensive
-camdistance		developmentonly clientdll defensive
-cammousemove		developmentonly clientdll defensive
-cl_show_team_equipment		clientdll release
-lookatweapon		clientdll release
-quickbuyradial		clientdll release
-quickgearradial		developmentonly clientdll defensive
-quickgrenaderadial		clientdll release
-quickinv		clientdll release
-radialradio		clientdll release
-radialradio2		clientdll release
-radialradio3		clientdll release
-spray_menu		clientdll release
+bugvoice	Start recording bug voice attachment.	developmentonly dontrecord defensive
+camdistance		developmentonly clientdll defensive
+cammousemove		developmentonly clientdll defensive
+cl_show_team_equipment		clientdll release
+lookatweapon		clientdll release
+quickbuyradial		clientdll release
+quickgearradial		developmentonly clientdll defensive
+quickgrenaderadial		clientdll release
+quickinv		clientdll release
+radialradio		clientdll release
+radialradio2		clientdll release
+radialradio3		clientdll release
+spray_menu		clientdll release
addip	Add an IP address to the ban list.	developmentonly defensive
addons	list current addon info.	developmentonly defensive
alias	Alias a command.	release
anim_eval_stats	Displays stats about how many EvaluatePose calls are unused	developmentonly gamedll
animevents_dump	List all the currently registered anim events.	gamedll cheat
animgraph_dump_update_list	Displays stats about which animations are updating	developmentonly gamedll
animgraph_set_parameter_bool	Specified entities will have the specified bool parameter set to the value specified. Useful for animators to test. Arguments: <entity> <parameter name> <value you want to send to animgraph for the entity>	gamedll cheat
animgraph_set_parameter_enum	Specified entities will have the specified enum parameter set to the value specified. Useful for animators to test. Arguments: <entity> <parameter name> <value you want to send to animgraph for the entity>	gamedll cheat
animgraph_set_parameter_float	Specified entities will have the specified float parameter set to the value specified. Useful for animators to test. Arguments: <entity> <parameter name> <value you want to send to animgraph for the entity>	gamedll cheat
animgraph_set_parameter_int	Specified entities will have the specified int parameter set to the value specified. Useful for animators to test. Arguments: <entity> <parameter name> <value you want to send to animgraph for the entity>	gamedll cheat
animgraph_set_parameter_string	Specified entities will have the specified bool parameter set to the value specified. Useful for animators to test. Arguments: <entity> <parameter name> <value you want to send to animgraph for the entity>	gamedll cheat
animgraph_set_parameter_vector	Specified entities will have the specified vector parameter set to the value specified. Useful for animators to test. Arguments: <entity> <parameter name> <value you want to send to animgraph for the entity>	gamedll cheat
annotation_append	Load annotation to a file without clearing existing annotations	clientdll release
annotation_clear	Clear all annotation	clientdll release
annotation_create	Creates an annotation	clientdll release
annotation_delete_previous_node_set	Delete the last node set created	clientdll release
annotation_load	Load annotation to a file after first clearing existing annotations	clientdll release
annotation_reload	Reload the annotation file	clientdll release
annotation_reload_language_file	Creates an annotation	clientdll release
annotation_save	Save annotation to a file	clientdll release
apply_crosshair_code	Apply a crosshair code to the current crosshair settings.	developmentonly clientdll defensive
auto_bug	auto_bug : create non-interactive bug report.	developmentonly dontrecord defensive
autobuy	Attempt to purchase items with the order listed in cl_autobuy	clientdll clientcmd_can_execute
autosave	Autosave	developmentonly gamedll defensive
autosavedangerous	AutoSaveDangerous	developmentonly gamedll defensive
autosavedangerousissafe		developmentonly gamedll defensive
axis	Draw an axis Arguments: x y z pitch yaw roll <lifetime = 10.0> <r g b a>	gamedll cheat
banid	Add a user ID to the ban list.	developmentonly defensive
banip	Add an IP address to the ban list.	developmentonly defensive
benchframe	Takes a snapshot of a particular frame in a time demo.	release
bind	Bind a key.	release
binddefaults	Bind all keys to their default values.	release
bindss	Bind a key for a particular splitscreen player.	release
bindtoggle	Performs a bind <key> "increment var <cvar> 0 1 1".	developmentonly defensive
blink	Blink specified convar value between two values at the specified duration.	developmentonly dontrecord defensive
bot_add	bot_add <t|ct> <type> <difficulty> <name> - Adds a bot matching the given criteria.	gamedll release
bot_add_ct	bot_add_ct <type> <difficulty> <name> - Adds a Counter-Terrorist bot matching the given criteria.	gamedll release
bot_add_t	bot_add_t <type> <difficulty> <name> - Adds a terrorist bot matching the given criteria.	gamedll release
bot_all_weapons	Allows the bots to use all weapons	gamedll release
bot_goto_mark	Sends a bot to the marked nav area (useful for testing navigation meshes)	gamedll cheat
bot_goto_selected	Sends a bot to the selected nav area (useful for testing navigation meshes)	gamedll cheat
bot_kick	bot_kick <all> <t|ct> <type> <difficulty> <name> - Kicks a specific bot, or all bots, matching the given criteria.	gamedll release
bot_kill	bot_kill <all> <t|ct> <type> <difficulty> <name> - Kills a specific bot, or all bots, matching the given criteria.	gamedll cheat
bot_knives_only	Restricts the bots to only using knives	gamedll release
bot_pistols_only	Restricts the bots to only using pistols	gamedll release
bot_place	bot_place - Places a bot from the map at where the local player is pointing.	gamedll cheat
bot_snipers_only	Restricts the bots to only using sniper rifles	gamedll release
box	Draw a bbox Arguments: minx miny miny maxx maxy maxz <lifetime = 10.0> <r g b a>	gamedll cheat
breakable_force_break	Force a breakable to break	developmentonly gamedll defensive
bug	bug [auto_fill_tokens] [-title <text>] [-noscreenshot] : Activate the bug reporter.	developmentonly dontrecord defensive
bugvoice_clear	Clear voice attachment data.	developmentonly dontrecord defensive
bugvoice_save	Write buffered voice attachment data to file.	developmentonly dontrecord defensive
buildcubemaps	Build Cubemaps	developmentonly clientdll defensive
buildsparseshadowtree	Build Sparse Shadow Tree	developmentonly clientdll hidden
button_info	Display information about the specified key or button.	release
buymenu	Show or hide main buy menu	clientdll server_can_execute
buyrandom	Buy random primary and secondary. Primarily for deathmatch where cost is not an issue.	gamedll client_can_execute
callvote	Start a vote on an issue.	gamedll client_can_execute
cam_command	Tells camera to change modes	clientdll cheat
camera_cut_to_datadriven_camera		developmentonly clientdll hidden defensive
camerazoomin		developmentonly clientdll defensive
camerazoomout		developmentonly clientdll defensive
camortho	Switch to orthographic camera.	clientdll cheat
cancelselect		clientdll server_can_execute
capturecubemap	Capture Cubemap	developmentonly clientdll defensive
cast_aabb	Tests box collision detection	gamedll cheat
cast_bullet	Tests bullet cast	gamedll cheat
cast_capsule	Tests capsule collision detection	gamedll cheat
cast_convex	Tests convex hull collision detection	gamedll cheat
cast_cylinder	Tests cylinder collision detection	gamedll cheat
cast_intervals	Tests interval ray cast	gamedll cheat
cast_obb	Tests cylinder collision detection	gamedll cheat
cast_physics	Tests physics shape collision detection	gamedll cheat
cast_ray	Tests ray cast	gamedll cheat
cast_sphere	Tests sphere cast	gamedll cheat
cc_emit	Emits a closed caption	developmentonly clientdll defensive
cc_findsound	Searches for soundname which emits specified text.	developmentonly clientdll defensive
cc_flush	Flushes async'd captions.	developmentonly clientdll defensive
cc_random	Emits a random caption	developmentonly clientdll defensive
cc_showblocks	Toggles showing which blocks are pending/loaded async.	developmentonly clientdll defensive
changelevel	changelevel <mapname> :Multiplayer change level.	release
check_nofilefd	Print the current number of FDs reported by getrlimit	developmentonly defensive
cl_anim_eval_stats	Displays stats about how many EvaluatePose calls are unused	developmentonly clientdll
cl_animgraph_dump_update_list	Displays stats about which animations are updating	developmentonly clientdll
cl_avatar_convert_png	Converts all rgb avatars in the avatars directory to png	clientdll cheat release
cl_avatar_convert_rgb	Converts all png avatars in the avatars directory to rgb	clientdll cheat release
cl_axis	Draw an axis Arguments: x y z pitch yaw roll <lifetime = 10.0> <r g b a>	clientdll cheat
cl_box	Draw a bbox Arguments: minx miny miny maxx maxy maxz <lifetime = 10.0> <r g b a>	clientdll cheat
cl_break_on_missing_resource	Break in debugger when missing resource match is found. Format: cl_break_on_missing_resource <substring> /(empty to break on all) / 0 to turn off.	developmentonly
cl_checkdeclareclasses	Check game code serializers	cheat
cl_commandtool_exec	Runs a command from the command tool	developmentonly clientdll defensive
cl_cs_dump_econ_item_stringtable	cl_cs_dump_econ_item_stringtable	developmentonly clientdll defensive
cl_debugoverlay_cycle_domain	Toggles visibility of the debug overlay system.	clientdll cheat
cl_debugoverlay_cycle_state	Toggles visibility of the debug overlay system.	clientdll cheat
cl_debugoverlay_dashboard	Makes the debug overlay dashboard visible.	clientdll cheat
cl_debugoverlay_hide_imgui	Hides the overlay.	clientdll cheat
cl_debugoverlay_toggle	Toggles visibility of the debug overlay system.	clientdll cheat
cl_destroy_ragdolls	Destroys all client-side ragdolls	developmentonly clientdll defensive
cl_dev_decaltrace_blood	Shoot out a decal spray that shoots blood.	developmentonly clientdll cheat
cl_drawcross	Draws a cross at the given location Arguments: x y z	clientdll cheat
cl_drawline	Draws line between two 3D Points. Green if no collision Red is collides with something Arguments: x1 y1 z1 x2 y2 z2	clientdll cheat
cl_dump_player_animgraph_state	Dumps the local player's animgraph state to console	developmentonly clientdll
cl_dump_projected_texture_count	Print out number of active projected textures	developmentonly clientdll defensive
cl_dump_response_symbols	print all response symbols to the console	developmentonly clientdll defensive
cl_dumpentity	Dumps info about an entity	clientdll cheat
cl_dumpsplithacks	Dump split screen workarounds.	developmentonly clientdll defensive
cl_ent_absbox	Displays the total bounding box for the given entity(s) in green. Some entites will also display entity specific overlays. Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	clientdll cheat
cl_ent_actornames	Displays the entity name for all entities that have ShouldDisplayInActorNames true in code	clientdll cheat
cl_ent_animgraph_debug	Displays debug draws about the given entity(ies) animgraph Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	clientdll cheat
cl_ent_animgraph_record	Toggles recording of animgraph replay of the given entity(s) Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	clientdll cheat
cl_ent_attachments	Displays the attachment points on an entity. Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	clientdll cheat
cl_ent_bbox	Displays the movement bounding box for the given entity(ies) in orange. Some entites will also display entity specific overlays. Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	clientdll cheat
cl_ent_call	ent_call <funcname> <option:entname> calls function on current look target or filtername, checks on ent, then root, then mode, then map scope	clientdll cheat
cl_ent_clear_debug_overlays	Clears all debug overlays	clientdll cheat
cl_ent_find	Find and list all entities with classnames or targetnames that contain the specified substrings. Format: find_ent <substring>	clientdll cheat
cl_ent_find_index	Display data for entity matching specified index. Format: find_ent_index <index>	clientdll cheat
cl_ent_grab	grabs the object in front of the player. Options: -loose -multiple -toggle	clientdll cheat
cl_ent_hierarchy	Prints the entity hierarchy tree rooted at the specified ent(s)	clientdll cheat
cl_ent_hitbox	Displays the hitboxes for the given entity(ies). Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	clientdll cheat
cl_ent_joints	Displays the joint names + axes an entity. Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	clientdll cheat
cl_ent_messages	Toggles input/output message display for the selected entity(ies). The name of the entity will be displayed as well as any messages that it sends or receives. Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	clientdll cheat
cl_ent_name	Displays the entity name	clientdll cheat
cl_ent_picker	Toggles 'picker' mode. When picker is on, the bounding box, pivot and debugging text is displayed for whatever entity the player is looking at. Arguments: full - enables all debug information	clientdll cheat
cl_ent_pivot	Displays the pivot for the given entity(ies). (y=up=green, z=forward=blue, x=left=red). Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	clientdll cheat
cl_ent_remove	Removes the given entity(s) Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	clientdll cheat
cl_ent_remove_all	Removes all entities of the specified type Arguments: {entity_name} / {class_name}	clientdll cheat
cl_ent_scale	Scales entities. Arguments: <scale factor> <{entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}>	clientdll cheat
cl_ent_scenehierarchy	Prints the entity scenenode hierarchy tree rooted at the specified ent(s)	clientdll cheat
cl_ent_script_dump	Dumps the names and values of this entity's script scope to the console Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	clientdll cheat
cl_ent_select	Select or deselects the given entities(s) for later manipulation Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	clientdll cheat
cl_ent_setang	Set entity angles	clientdll cheat client_can_execute
cl_ent_setname	Sets the targetname of the given entity(s) Arguments: <new entity name> <{entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}>	clientdll cheat
cl_ent_setpos	Move entity to position	clientdll cheat client_can_execute
cl_ent_show_damage	Sets damage display mode. When on, you will see the amount of damage dealt over the target's head.	clientdll cheat
cl_ent_skeleton	Displays the skeleton for the given entity(ies). Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	clientdll cheat
cl_ent_spew_derived_classes	Prints out all entity classes which inherit from a specified base class	developmentonly clientdll
cl_ent_text	Displays text debugging information about the given entity(ies) on top of the entity (See Overlay Text) Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	clientdll cheat vconsole_fuzzy_matching
cl_ent_text_clear	Hide text debugging information about the given entity(ies) on top of the entity (See Overlay Text) Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	clientdll cheat
cl_ent_text_filter	Set which ent_text filters you want:	clientdll cheat
cl_ent_text_radius	Displays text debugging information about the given entity(ies) [near the player] on top of the entity (See Overlay Text) 2 Arguments: <Radius> <{entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}>	clientdll cheat
cl_ent_text_sticky_add	Adds to list of names to display text debugging information about the given entity(ies) on top of the entity (See Overlay Text) Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	clientdll cheat
cl_ent_text_sticky_clear	Clears the list of names to display text debugging information about the given entity(ies) on top of the entity (See Overlay Text) Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	clientdll cheat
cl_ent_text_sticky_dump	Spews the list of names to display text debugging information about the given entity(ies) on top of the entity (See Overlay Text) Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	clientdll cheat
cl_ent_text_sticky_remove	Removes from the list of names to display text debugging information about the given entity(ies) on top of the entity (See Overlay Text) Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	clientdll cheat
cl_ent_text256	Displays text debugging information about the given entity(ies) [within 256 units of the player] on top of the entity (See Overlay Text) Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	clientdll cheat
cl_ent_ungrab	un-grabs all objects	clientdll cheat
cl_ent_vcollide_wireframe	Displays the interpolated vcollide wireframe pm am entity. Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	clientdll cheat
cl_ent_viewoffset	Displays the eye position for the given entity(ies) in red. Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	clientdll cheat
cl_ent_visibility_traces	Displays visibility traces for the given entity Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	clientdll cheat vconsole_fuzzy_matching
cl_entityreport	Reports all extant entities. Optional 2nd arg is a substring of a classname that the list will be filtered by.	developmentonly clientdll defensive
cl_entitysummary	Summarizes (by class) all extant entities. Optional 2nd arg is a substring of a classname that the list will be filtered by.	developmentonly clientdll defensive
cl_ents	List client entities, sorted by spawn group	developmentonly clientdll defensive
cl_fullupdate	Force uncompressed update	cheat
cl_game_mode_convars	Display the values of the convars for the current game_mode.	developmentonly clientdll defensive
cl_groups	Show status of all spawn groups.	clientdll cheat
cl_imgui_debug_entity	Shows the entity browswer, focused on the entity you specify. Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	clientdll cheat
cl_imgui_set_selection	Sets ImGui selection	clientdll cheat
cl_imgui_set_status_text	Sets ImGui header status text	clientdll cheat
cl_in_forcebuttonstate	Forces a button to be a particular state - WHEN PROCESSING USERCOMMANDS	developmentonly clientdll vconsole_fuzzy_matching
cl_interp	Read the effective client simulation interpolation amount in terms of time.	clientdll release
cl_mainmenu_hide_blog	Show the news panel and hide blog	clientdll hidden clientcmd_can_execute
cl_mainmenu_show_blog	Show the blog and hide news panel	clientdll hidden clientcmd_can_execute
cl_matchstats_print_own_data	cl_matchstats_print_own_data RANGENAME	developmentonly clientdll defensive
cl_net_printsummary	Print a summary report of Source2 engine networking statistics. (Ticks, netchan messages, etc.)	dontrecord release
cl_particles_dump_effects		developmentonly clientdll defensive
cl_particles_dumplist	Dump all new particles, optional name substring.	linked_concommand developmentonly clientdll defensive
cl_particles_dumpsimlist	Dump all simulating particles, optional name substring.	linked_concommand developmentonly clientdll defensive
cl_phys_create_test_character_proxy	Create test character proxy	developmentonly clientdll
cl_phys_dump_intersection_controller	Dump intersection controller status	developmentonly clientdll
cl_phys_dump_main_world	Dump physics main world to file	developmentonly clientdll
cl_phys_dump_memory	Dump memory usage	developmentonly clientdll
cl_phys_list	List all physics component contents of every entity in the game; -stream [1|0] : initiate|terminate streaming to physics debugger -allents: include non-physical entities -classes: print class names -sdk : Rubikon build -world : current state of the world -world -touch: list body pairs (bodies in contact) -world -save <name>: save world to a file -world -mem: memory dump -world -snapshots: Start/Stop dumping snapshots of the world into the current directory -world -profiletraces: ProfileRecordedTraces -world -agg: current aggregate data registry (loaded resources)	developmentonly clientdll
