
Name	Description	Flags
_fov 0	Automates fov command to server.	developmentonly clientdll defensive
adsp_alley_min 122		developmentonly defensive
adsp_courtyard_min 126		developmentonly defensive
adsp_debug 0		archive
adsp_door_height 112		developmentonly defensive
adsp_duct_min 106		developmentonly defensive
adsp_hall_min 110		developmentonly defensive
adsp_low_ceiling 108		developmentonly defensive
adsp_opencourtyard_min 126		developmentonly defensive
adsp_openspace_min 130		developmentonly defensive
adsp_openstreet_min 118		developmentonly defensive
adsp_openwall_min 130		developmentonly defensive
adsp_room_min 102		developmentonly defensive
adsp_street_min 118		developmentonly defensive
adsp_tunnel_min 114		developmentonly defensive
adsp_wall_height 128		developmentonly defensive
ai_debug_dyninteractions 0	Debug the NPC dynamic interaction system.	gamedll cheat
ai_debug_los 0	NPC Line-Of-Sight debug mode. If 1, solid entities that block NPC LOC will be highlighted with white bounding boxes. If 2, it'll show non-solid entities that would do it if they were solid.	gamedll cheat
ai_debug_ragdoll_magnets false		developmentonly gamedll defensive
ai_debug_scripted_sequence false		gamedll cheat
ai_debug_shoot_positions 0		gamedll clientdll replicated cheat
ai_debug_soundent 0	Reports sounds being entered into the AI sound list. Set to 1 to see all sounds, set to 2 to only see DANGER sounds.	developmentonly gamedll defensive
ai_debug_soundent_duration 0.100000	Length of time to display ai_debug_soundent visual displays.	developmentonly gamedll defensive
ai_debug_speech 0		developmentonly gamedll defensive
ai_disabled false		gamedll clientdll replicated cheat
ai_expression_frametime 0.050000	Maximum frametime to still play background expressions.	developmentonly gamedll defensive
ai_expression_optimization false	Disable npc background expressions when you can't see them.	developmentonly gamedll defensive
ai_force_serverside_ragdoll false		developmentonly gamedll defensive
ai_off_nav_show_nearest false		gamedll cheat
ai_sequence_debug false		developmentonly gamedll clientdll replicated defensive
ai_use_visibility_cache 1	Sets whether or not NPCs can cache their Visibility checks against other entities. If set to 2, also tests to make sure that NPC->Target results match that of Target->NPC.	developmentonly gamedll defensive
ai_use_visibility_cache_reciprocation true	Sets whether or not the visibility check cache should be reciprocal.	developmentonly gamedll defensive
ammo_338mag_headshot_mult 1.000000	You must enable tweaking via tweak_ammo_impulses to use this value.	developmentonly gamedll clientdll replicated defensive
ammo_338mag_impulse 2800.000000	You must enable tweaking via tweak_ammo_impulses to use this value.	developmentonly gamedll clientdll replicated defensive
ammo_338mag_max 30		gamedll clientdll replicated release
ammo_357sig_headshot_mult 1.000000	You must enable tweaking via tweak_ammo_impulses to use this value.	developmentonly gamedll clientdll replicated defensive
ammo_357sig_impulse 2000.000000	You must enable tweaking via tweak_ammo_impulses to use this value.	developmentonly gamedll clientdll replicated defensive
ammo_357sig_max 52		gamedll clientdll replicated release
ammo_357sig_min_max 12		gamedll clientdll replicated release
ammo_357sig_p250_max 26		gamedll clientdll replicated release
ammo_357sig_small_max 24		gamedll clientdll replicated release
ammo_45acp_headshot_mult 1.000000	You must enable tweaking via tweak_ammo_impulses to use this value.	developmentonly gamedll clientdll replicated defensive
ammo_45acp_impulse 2100.000000	You must enable tweaking via tweak_ammo_impulses to use this value.	developmentonly gamedll clientdll replicated defensive
